,Number,Artist,Lead_Streams,Tracks,One_Billion,Hundred_Million,Ten_Million,One_Million,Feat_Streams
0,1,DrakeUp to date data,"62,29,16,23,384",287,8,161,280,283,"22,38,05,28,224"
1,2,Bad BunnyUp to date data,"57,37,13,71,770",161,11,124,157,160,"10,37,69,54,903"
2,3,Taylor SwiftUp to date data,"56,44,31,42,775",382,4,154,318,375,"56,64,17,581"
3,4,The WeekndUp to date data,"46,96,31,72,306",237,10,86,158,230,"6,94,91,81,870"
4,5,Ed SheeranUp to date data,"44,28,24,12,070",267,11,71,198,249,"3,37,70,26,085"
5,6,Justin BieberUp to date data,"37,92,29,11,471",230,9,65,176,198,"12,03,75,36,900"
6,7,Ariana GrandeUp to date data,"37,92,02,64,600",184,9,74,131,180,"2,37,51,02,907"
7,8,EminemUp to date data,"37,23,37,88,794",307,7,73,236,273,"4,72,18,20,009"
8,9,BTSUp to date data,"35,23,99,20,199",272,4,114,221,272,"43,62,33,714"
9,10,Post MaloneUp to date data,"34,93,08,58,200",119,10,61,94,102,"3,12,36,03,669"
10,11,Kanye WestUp to date data,"31,45,17,63,023",247,3,74,196,222,"6,81,92,18,874"
11,12,J BalvinUp to date data,"31,15,88,56,402",255,4,75,163,237,"9,11,36,89,339"
12,13,Billie EilishUp to date data,"28,99,72,25,141",69,6,53,62,65,0
13,14,ColdplayUp to date data,"27,41,72,96,047",299,9,40,190,281,"1,07,68,648"
14,15,Juice WRLDUp to date data,"27,21,48,95,148",122,3,67,120,121,"4,99,98,96,040"
15,16,Dua LipaUp to date data,"26,70,18,93,543",201,8,39,89,169,"40,12,29,946"
16,17,Imagine DragonsUp to date data,"26,37,86,50,838",227,8,44,122,161,"7,77,54,128"
17,18,RihannaUp to date data,"26,00,49,81,332",356,8,52,118,224,"9,50,46,10,324"
18,19,Travis ScottUp to date data,"25,55,70,60,608",149,4,62,118,136,"11,72,66,26,735"
19,20,XXXTENTACIONUp to date data,"25,45,95,68,196",144,9,47,113,142,"3,03,45,80,509"
20,21,OzunaUp to date data,"25,05,36,34,680",270,1,57,175,236,"8,54,76,75,413"
21,22,David GuettaUp to date data,"24,16,96,96,619",834,2,50,179,465,"1,37,74,67,527"
22,23,KhalidUp to date data,"23,81,62,69,903",130,7,45,103,117,"3,22,07,85,825"
23,24,Maroon 5Up to date data,"23,31,31,48,310",247,9,31,114,205,"48,16,033"
24,25,Bruno MarsUp to date data,"22,26,17,17,106",81,8,33,61,77,"5,21,93,49,903"
